,age,sex,tx,sample_name,index
0,E18,Female,SAL,F_E18 1,0.11708474029404883
1,E18,Male,SAL,M_E18 1,0.06233513820073153
2,E18,Female,SAL,F_E18 3,0.11627665869840491
3,E18,Male,SAL,M_E18 4,0.0
4,P14,Female,SAL,F_P14 1,0.4185160527760017
5,P14,Female,SAL,F_P14 2,0.42623537148236246
6,P14,Female,SAL,F_P14 3,0.3678934076587637
7,P14,Female,SAL,F_P14 4,0.4266821310038151
8,P14,Female,SAL,F_P14 5,0.28757543157214227
9,P14,Female,SAL,F_P14 6,0.39867547520712127
10,P14,Female,SAL,F_P14 7,0.4278164647355971
11,P14,Female,SAL,F_P14 8,0.6173263583195169
12,P14,Female,SAL,F_P14 9,0.5404982176438397
13,P14,Female,SAL,F_P14 10,0.572809052975343
14,P4,Male,SAL,M_P4 1,0.1980395717594277
15,P4,Female,SAL,F_P4 2,0.2724216990559565
16,P4,Female,SAL,F_P4 3,0.2735626822528297
17,P4,Female,SAL,F_P4 4,0.2807570595040184
18,P60 + LPS,Female,LPS,F_P60_LPS 1,0.8480403990708809
19,P60 + LPS,Female,LPS,F_P60_LPS 2,0.6176576350419751
20,P60 + LPS,Male,LPS,M_P60_LPS 2,0.9491507242638038
21,P60 + LPS,Female,LPS,F_P60_LPS 4,0.5634726242625925
22,P60 + LPS,Female,LPS,F_P60_LPS 5,0.6174836701834053
23,P60 + LPS,Female,LPS,F_P60_LPS 6,0.5886140572399454
24,P60 + LPS,Male,LPS,M_P60_LPS 7,0.832459405754485
25,P60,Female,SAL,F_P60_Sal 1,0.7797305129165492
26,P60,Female,SAL,F_P60_Sal 2,0.7268733598542061
27,P60,Female,SAL,F_P60_Sal 3,0.719872972038913
28,P60,Female,SAL,F_P60_Sal 4,0.8720585418293362
29,P60,Female,SAL,F_P60_Sal 5,1.0
30,P60,Male,SAL,M_P60_Sal 5,0.7106485198849171
31,P60,Female,SAL,F_P60_Sal 7,0.6757851116524703
32,E18,Female,SAL,F_E18 2,0.05684046744807465
33,E18,Male,SAL,M_E18 2,0.09057907508471259
34,E18,Male,SAL,M_E18 3,0.05735321947849492
35,P14,Male,SAL,M_P14 1,0.5475078674115392
36,P14,Male,SAL,M_P14 2,0.4705390497423356
37,P14,Male,SAL,M_P14 3,0.4842323232451217
38,P14,Male,SAL,M_P14 4,0.41630202088898743
39,P14,Male,SAL,M_P14 5,0.3544811711996109
40,P14,Male,SAL,M_P14 6,0.36283613338398557
41,P14,Male,SAL,M_P14 7,0.3700751213701346
42,P14,Male,SAL,M_P14 8,0.5345409568305635
43,P14,Male,SAL,M_P14 9,0.6332745747889816
44,P14,Male,SAL,M_P14 10,0.5579111046969825
45,P4,Female,SAL,F_P4 1,0.22080039407106566
46,P4,Male,SAL,M_P4 2,0.2567625639652462
47,P4,Male,SAL,M_P4 3,0.22886428996433433
48,P4,Male,SAL,M_P4 4,0.32471448063117553
49,P60 + LPS,Male,LPS,M_P60_LPS 1,0.7755229415686573
50,P60 + LPS,Female,LPS,F_P60_LPS 3,0.7088199264700379
51,P60 + LPS,Male,LPS,M_P60_LPS 3,0.9403235543508723
52,P60 + LPS,Male,LPS,M_P60_LPS 4,0.6601989246725198
53,P60 + LPS,Male,LPS,M_P60_LPS 5,0.679028824443477
54,P60 + LPS,Male,LPS,M_P60_LPS 6,0.8208346857689639
55,P60,Male,SAL,M_P60_Sal 1,0.6493792506726443
56,P60,Male,SAL,M_P60_Sal 2,0.7197904669509166
57,P60,Male,SAL,M_P60_Sal 3,0.49141385621939704
58,P60,Male,SAL,M_P60_Sal 4,0.551254156316568
59,P60,Female,SAL,F_P60_Sal 6,0.5322133164559305
