,level_0,level_1,level_2,level_3,0
0,E18,Female,SAL,F_E18 1,0.07434120161716974
1,E18,Male,SAL,M_E18 1,0.039307373533266514
2,E18,Female,SAL,F_E18 3,0.0696973761616469
3,E18,Male,SAL,M_E18 4,0.0
4,P14,Female,SAL,F_P14 1,0.3624811377632036
5,P14,Female,SAL,F_P14 2,0.3569227564916775
6,P14,Female,SAL,F_P14 3,0.2908469966910776
7,P14,Female,SAL,F_P14 4,0.38298910664056607
8,P14,Female,SAL,F_P14 5,0.24825198741629434
9,P14,Female,SAL,F_P14 6,0.3361635606191248
10,P14,Female,SAL,F_P14 7,0.3738050939854091
11,P14,Female,SAL,F_P14 8,0.5557732270909242
12,P14,Female,SAL,F_P14 9,0.49679396426373645
13,P14,Female,SAL,F_P14 10,0.5074468014346837
14,P4,Male,SAL,M_P4 1,0.14037120494659575
15,P4,Female,SAL,F_P4 2,0.2094057484380249
16,P4,Female,SAL,F_P4 3,0.199520459533042
17,P4,Female,SAL,F_P4 4,0.20750175578762137
18,P60 + LPS,Female,LPS,F_P60_LPS 1,0.7862615068499582
19,P60 + LPS,Female,LPS,F_P60_LPS 2,0.567680804641338
20,P60 + LPS,Male,LPS,M_P60_LPS 2,0.9016479866938426
21,P60 + LPS,Female,LPS,F_P60_LPS 4,0.5197966325750419
22,P60 + LPS,Female,LPS,F_P60_LPS 5,0.573453385486538
23,P60 + LPS,Female,LPS,F_P60_LPS 6,0.5611709217361266
24,P60 + LPS,Male,LPS,M_P60_LPS 7,0.7753624248865831
25,P60,Female,SAL,F_P60_Sal 1,0.7059679682096132
26,P60,Female,SAL,F_P60_Sal 2,0.6962701763637329
27,P60,Female,SAL,F_P60_Sal 3,0.6536456308082472
28,P60,Female,SAL,F_P60_Sal 4,0.8427020557286787
29,P60,Female,SAL,F_P60_Sal 5,1.0
30,P60,Male,SAL,M_P60_Sal 5,0.659792229298959
31,P60,Female,SAL,F_P60_Sal 7,0.6344070361034448
32,E18,Female,SAL,F_E18 2,0.03678640307846535
33,E18,Male,SAL,M_E18 2,0.052366986331588386
34,E18,Male,SAL,M_E18 3,0.038099603848305144
35,P14,Male,SAL,M_P14 1,0.5054261091641368
36,P14,Male,SAL,M_P14 2,0.3972753573984996
37,P14,Male,SAL,M_P14 3,0.4064224944645008
38,P14,Male,SAL,M_P14 4,0.35869470063149667
39,P14,Male,SAL,M_P14 5,0.29419531629935547
40,P14,Male,SAL,M_P14 6,0.30078735229645165
41,P14,Male,SAL,M_P14 7,0.3145043666915303
42,P14,Male,SAL,M_P14 8,0.4957001121572039
43,P14,Male,SAL,M_P14 9,0.6038852882113845
44,P14,Male,SAL,M_P14 10,0.5104713466797548
45,P4,Female,SAL,F_P4 1,0.16060934433598018
46,P4,Male,SAL,M_P4 2,0.1891493929736564
47,P4,Male,SAL,M_P4 3,0.17250174714245212
48,P4,Male,SAL,M_P4 4,0.25096289645717945
49,P60 + LPS,Male,LPS,M_P60_LPS 1,0.7088364588185923
50,P60 + LPS,Female,LPS,F_P60_LPS 3,0.635805479933659
51,P60 + LPS,Male,LPS,M_P60_LPS 3,0.8222533394631327
52,P60 + LPS,Male,LPS,M_P60_LPS 4,0.5829904599760906
53,P60 + LPS,Male,LPS,M_P60_LPS 5,0.5942802720510337
54,P60 + LPS,Male,LPS,M_P60_LPS 6,0.7646712466446808
55,P60,Male,SAL,M_P60_Sal 1,0.5885267836867822
56,P60,Male,SAL,M_P60_Sal 2,0.6746400569571732
57,P60,Male,SAL,M_P60_Sal 3,0.44461885661866996
58,P60,Male,SAL,M_P60_Sal 4,0.5083175615700477
59,P60,Female,SAL,F_P60_Sal 6,0.517038531887656
