,age,sex,tx,sample_name,index
0,E18,Female,SAL,F_E18 1,0.11731331703151615
1,E18,Male,SAL,M_E18 1,0.062496804042921184
2,E18,Female,SAL,F_E18 3,0.11669604071850218
3,E18,Male,SAL,M_E18 4,0.0
4,P14,Female,SAL,F_P14 1,0.4215317719096071
5,P14,Female,SAL,F_P14 2,0.4286962238561359
6,P14,Female,SAL,F_P14 3,0.3698326091400424
7,P14,Female,SAL,F_P14 4,0.4287013621710764
8,P14,Female,SAL,F_P14 5,0.2901774581318626
9,P14,Female,SAL,F_P14 6,0.400657678275631
10,P14,Female,SAL,F_P14 7,0.4293371659089595
11,P14,Female,SAL,F_P14 8,0.6186744829488653
12,P14,Female,SAL,F_P14 9,0.5426727503112538
13,P14,Female,SAL,F_P14 10,0.5757110715893465
14,P4,Male,SAL,M_P4 1,0.19917950173911148
15,P4,Female,SAL,F_P4 2,0.2729285256896154
16,P4,Female,SAL,F_P4 3,0.2747109677918784
17,P4,Female,SAL,F_P4 4,0.2818424917930004
18,P60 + LPS,Female,LPS,F_P60_LPS 1,0.8492843071714302
19,P60 + LPS,Female,LPS,F_P60_LPS 2,0.6203083146598237
20,P60 + LPS,Male,LPS,M_P60_LPS 2,0.9467502894406573
21,P60 + LPS,Female,LPS,F_P60_LPS 4,0.5655257657690989
22,P60 + LPS,Female,LPS,F_P60_LPS 5,0.6219998844160377
23,P60 + LPS,Female,LPS,F_P60_LPS 6,0.5926169663291296
24,P60 + LPS,Male,LPS,M_P60_LPS 7,0.8344714818055989
25,P60,Female,SAL,F_P60_Sal 1,0.78352738230247
26,P60,Female,SAL,F_P60_Sal 2,0.7296277213259984
27,P60,Female,SAL,F_P60_Sal 3,0.7217475982497876
28,P60,Female,SAL,F_P60_Sal 4,0.8771265547030483
29,P60,Female,SAL,F_P60_Sal 5,1.0
30,P60,Male,SAL,M_P60_Sal 5,0.7147809294406264
31,P60,Female,SAL,F_P60_Sal 7,0.6804612359378297
32,E18,Female,SAL,F_E18 2,0.05684085251364328
33,E18,Male,SAL,M_E18 2,0.09080637822624385
34,E18,Male,SAL,M_E18 3,0.05789184158317828
35,P14,Male,SAL,M_P14 1,0.548764136538639
36,P14,Male,SAL,M_P14 2,0.47368258842227784
37,P14,Male,SAL,M_P14 3,0.4867126709484455
38,P14,Male,SAL,M_P14 4,0.4168536344058552
39,P14,Male,SAL,M_P14 5,0.3562354032926403
40,P14,Male,SAL,M_P14 6,0.3641268745370023
41,P14,Male,SAL,M_P14 7,0.37129614934389865
42,P14,Male,SAL,M_P14 8,0.5364137620513381
43,P14,Male,SAL,M_P14 9,0.6350642591581184
44,P14,Male,SAL,M_P14 10,0.5599034885669529
45,P4,Female,SAL,F_P4 1,0.2216242486501623
46,P4,Male,SAL,M_P4 2,0.25693512818852077
47,P4,Male,SAL,M_P4 3,0.2300003631803488
48,P4,Male,SAL,M_P4 4,0.3254454020884258
49,P60 + LPS,Male,LPS,M_P60_LPS 1,0.7766470896279088
50,P60 + LPS,Female,LPS,F_P60_LPS 3,0.7116543149946353
51,P60 + LPS,Male,LPS,M_P60_LPS 3,0.9443916313444948
52,P60 + LPS,Male,LPS,M_P60_LPS 4,0.663057977519353
53,P60 + LPS,Male,LPS,M_P60_LPS 5,0.6825278380646967
54,P60 + LPS,Male,LPS,M_P60_LPS 6,0.820884637267741
55,P60,Male,SAL,M_P60_Sal 1,0.652198032548464
56,P60,Male,SAL,M_P60_Sal 2,0.7229984366697069
57,P60,Male,SAL,M_P60_Sal 3,0.49485900092722795
58,P60,Male,SAL,M_P60_Sal 4,0.5546603390212062
59,P60,Female,SAL,F_P60_Sal 6,0.5345894291590113
